Bid,Difference_Bid_PTE,Winner,codmat,coduasg,Tender,ipgItem,ipgQuantidade,ipgValorMinClassif,Pre_Tender,Date,Bid_value,numprp,prgCod,Competitor,atualizado,Number_bids,especificidade,frequencia,material,Collusive_competitor_original,Collusive_competitor,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST
7518597,4386675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370095,13650000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518589,4346675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370088,13690000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518602,4345695.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370102,13690980.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518570,4335685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370066,13700990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518573,4306675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370070,13730000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518564,4296675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370061,13740000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518546,4285695.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370042,13750980.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518554,4276675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370052,13760000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518545,4256675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370041,13780000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518531,4245685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370026,13790990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518535,4187775.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370032,13848900.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518523,4186675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370016,13850000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518521,4185685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370014,13850990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
